Unix;Date;Close
1,61292E+12;10/02/2021;44807.58
1,61283E+12;09/02/2021;46420.42
1,61274E+12;08/02/2021;46374.87
1,61266E+12;07/02/2021;38795.69
1,61257E+12;06/02/2021;39186.94
1,61248E+12;05/02/2021;38290.24
1,6124E+12;04/02/2021;36936.66
1,61231E+12;03/02/2021;37618.87
1,61222E+12;02/02/2021;35466.24
1,61214E+12;01/02/2021;33526.37
1,61205E+12;31/01/2021;33092.98
1,61196E+12;30/01/2021;34262.88
1,61188E+12;29/01/2021;34252.2
1,61179E+12;28/01/2021;33364.86
1,61171E+12;27/01/2021;30366.15
1,61162E+12;26/01/2021;32467.77
1,61153E+12;25/01/2021;32254.2
1,61145E+12;24/01/2021;32259.9
1,61136E+12;23/01/2021;32078.0
1,61127E+12;22/01/2021;32945.17
1,61119E+12;21/01/2021;30850.13
1,6111E+12;20/01/2021;35468.23
1,61101E+12;19/01/2021;35891.49
1,61093E+12;18/01/2021;36631.27
1,61084E+12;17/01/2021;35828.61
1,61076E+12;16/01/2021;35994.98
1,61067E+12;15/01/2021;36742.22
1,61058E+12;14/01/2021;39144.5
1,6105E+12;13/01/2021;37371.38
1,61041E+12;12/01/2021;34051.24
1,61032E+12;11/01/2021;35404.47
1,61024E+12;10/01/2021;38150.02
1,61015E+12;09/01/2021;40088.22
1,61006E+12;08/01/2021;40582.81
1,60998E+12;07/01/2021;39432.28
1,60989E+12;06/01/2021;36769.36
1,6098E+12;05/01/2021;33949.53
1,60972E+12;04/01/2021;31988.71
1,60963E+12;03/01/2021;33000.05
1,60955E+12;02/01/2021;32178.33
1,60946E+12;01/01/2021;29331.69
1,60937E+12;31/12/2020;28923.63
1,60929E+12;30/12/2020;28875.54
1,6092E+12;29/12/2020;27385.0
1,60911E+12;28/12/2020;27079.41
1,60903E+12;27/12/2020;26281.66
1,60894E+12;26/12/2020;26493.39
1,60885E+12;25/12/2020;24712.47
1,60877E+12;24/12/2020;23729.2
1,60868E+12;23/12/2020;23232.76
1,6086E+12;22/12/2020;23810.79
1,60851E+12;21/12/2020;22719.71
1,60842E+12;20/12/2020;23455.52
1,60834E+12;19/12/2020;23821.61
1,60825E+12;18/12/2020;23107.39
1,60816E+12;17/12/2020;22797.16
1,60808E+12;16/12/2020;21335.52
1,60799E+12;15/12/2020;19426.43
1,6079E+12;14/12/2020;19273.14
1,60782E+12;13/12/2020;19174.99
1,60773E+12;12/12/2020;18808.69
1,60764E+12;11/12/2020;18036.53
1,60756E+12;10/12/2020;18254.63
1,60747E+12;09/12/2020;18541.28
1,60739E+12;08/12/2020;18324.11
1,6073E+12;07/12/2020;19166.9
1,60721E+12;06/12/2020;19359.4
1,60713E+12;05/12/2020;19147.66
1,60704E+12;04/12/2020;18650.52
1,60695E+12;03/12/2020;19421.9
1,60687E+12;02/12/2020;19204.09
1,60678E+12;01/12/2020;18764.96
1,60669E+12;30/11/2020;19695.87
1,60661E+12;29/11/2020;18184.99
1,60652E+12;28/11/2020;17719.85
1,60644E+12;27/11/2020;17139.52
1,60635E+12;26/11/2020;17149.47
1,60626E+12;25/11/2020;18719.11
1,60618E+12;24/11/2020;19160.01
1,60609E+12;23/11/2020;18368.0
1,606E+12;22/11/2020;18414.43
1,60592E+12;21/11/2020;18703.8
1,60583E+12;20/11/2020;18655.67
1,60574E+12;19/11/2020;17802.82
1,60566E+12;18/11/2020;17776.12
1,60557E+12;17/11/2020;17659.38
1,60548E+12;16/11/2020;16713.57
1,6054E+12;15/11/2020;15957.0
1,60531E+12;14/11/2020;16070.45
1,60523E+12;13/11/2020;16320.7
1,60514E+12;12/11/2020;16291.86
1,60505E+12;11/11/2020;15684.24
1,60497E+12;10/11/2020;15297.21
1,60488E+12;09/11/2020;15328.41
1,60479E+12;08/11/2020;15475.1
1,60471E+12;07/11/2020;14818.3
1,60462E+12;06/11/2020;15579.92
1,60453E+12;05/11/2020;15590.02
1,60445E+12;04/11/2020;14144.01
1,60436E+12;03/11/2020;14023.53
1,60428E+12;02/11/2020;13549.37
1,60419E+12;01/11/2020;13761.5
1,6041E+12;31/10/2020;13791.0
1,60402E+12;30/10/2020;13560.1
1,60393E+12;29/10/2020;13455.7
1,60384E+12;28/10/2020;13266.4
1,60376E+12;27/10/2020;13636.17
1,60367E+12;26/10/2020;13052.19
1,60358E+12;25/10/2020;13028.83
1,6035E+12;24/10/2020;13111.73
1,60341E+12;23/10/2020;12923.07
1,60332E+12;22/10/2020;12968.52
1,60324E+12;21/10/2020;12780.96
1,60315E+12;20/10/2020;11909.99
1,60307E+12;19/10/2020;11751.47
1,60298E+12;18/10/2020;11503.14
1,60289E+12;17/10/2020;11360.2
1,60281E+12;16/10/2020;11319.32
1,60272E+12;15/10/2020;11505.12
1,60263E+12;14/10/2020;11417.89
1,60255E+12;13/10/2020;11420.56
1,60246E+12;12/10/2020;11528.25
1,60237E+12;11/10/2020;11369.02
1,60229E+12;10/10/2020;11293.22
1,6022E+12;09/10/2020;11050.64
1,60212E+12;08/10/2020;10925.57
1,60203E+12;07/10/2020;10666.39
1,60194E+12;06/10/2020;10599.66
1,60186E+12;05/10/2020;10792.21
1,60177E+12;04/10/2020;10666.63
1,60168E+12;03/10/2020;10542.06
1,6016E+12;02/10/2020;10570.4
1,60151E+12;01/10/2020;10619.13
