district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Sarrià-Sant Gervasi;Sarrià;needs refurb;Flat;4;116;mezzanine;680000;Yes;exterior
Nou Barris;la Guineueta;needs refurb;Flat;3;56; floor 2;129000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;3;114; floor 3;335000;No;exterior
Eixample;Sant Antoni;needs refurb;Flat;4;100; floor 1;340000;Yes;interior
Nou Barris;Vilapicina i la Torre Llobeta;needs refurb;Flat;3;65; floor 4;179000;Yes;exterior
Sant Martí;Sant Martí de Provençals;needs refurb;Flat;3;76; floor 5;169000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;4;100; floor 4;420000;Yes;interior
Les Corts;les Corts;needs refurb;Flat;4;102; floor 3;399000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;5;154; floor 4;590000;Yes;exterior
Sant Andreu;la Sagrera;needs refurb;Flat;4;74; floor 5;205000;Yes;interior
Sarrià-Sant Gervasi;Sarrià;needs refurb;Flat;5;150; floor 1;585000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;needs refurb;Flat;4;155; floor 1;400000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;6;274; floor 2;1190000;Yes;exterior
Sants-Montjuïc;Sants;needs refurb;Flat;4;85;mezzanine;330000;Yes;interior
Eixample;Sant Antoni;needs refurb;Flat;4;101; floor 6;365000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;3;86; floor 3;350000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;1;71;mezzanine;189000;Yes;interior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;2;44; floor 1;185000;Yes;interior
Sants-Montjuïc;Sants;needs refurb;Flat;3;60; floor 3;249000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;1;30; floor 3;115000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;111; floor 3;422500;Yes;exterior
Sant Martí;el Poblenou;needs refurb;Flat;3;50; floor 2;225000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;3;121; floor 7;790000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;4;140; floor 1;545000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Flat;3;100; floor 1;430000;Yes;exterior
Sant Andreu;el Bon Pastor;needs refurb;Flat;3;75; floor 1;120000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;65; floor 7;395000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;6;338; floor 1;1060000;Yes;exterior
Sants-Montjuïc;Sants;needs refurb;Flat;1;42;ground floor;125000;No;interior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;174; floor 4;680000;Yes;exterior
Ciutat Vella;el Raval;needs refurb;Penthouse;3;59; floor 3;178500;No;exterior
Horta-Guinardó;el Baix Guinardó;needs refurb;Flat;4;95; floor 4;340000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;170; floor 2;980000;Yes;exterior
Eixample;el Fort Pienc;needs refurb;Flat;4;100; floor 1;325000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;4;88; floor 5;425000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;73;mezzanine;554000;No;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;95; floor 3;368600;Yes;exterior
Nou Barris;Porta;needs refurb;Flat;4;75; floor 2;190000;Yes;interior
Nou Barris;Porta;needs refurb;Flat;2;50; floor 4;149000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;2;43; floor 5;179000;No;exterior
Sant Martí;el Camp de l'Arpa del Clot;needs refurb;Flat;2;51; floor 1;249000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;5;160; floor 3;619000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;2;130; floor 7;620000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;3;130; floor 7;650000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;2;190; floor 8;650000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Flat;4;93; floor 4;330000;Yes;exterior
Sant Martí;la Verneda i la Pau;needs refurb;Flat;3;60; floor 16;180000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Flat;2;90; floor 3;288000;Yes;exterior
Sant Andreu;Sant Andreu;needs refurb;Flat;3;66; floor 2;195000;Yes;exterior
Horta-Guinardó;el Guinardó;needs refurb;Flat;4;98; floor 2;245000;Yes;interior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;1;60;mezzanine;260000;Yes;interior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;3;110; floor 2;370000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Penthouse;5;230; floor 8;1150000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Penthouse;5;231; floor 8;1150000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Duplex;7;300; floor 2;1000000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;100; floor 2;450000;Yes;exterior
Sant Martí;el Poblenou;needs refurb;Flat;3;49;ground floor;155000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;needs refurb;Flat;4;88; floor 3;300000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;needs refurb;Flat;4;120; floor 4;370000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;needs refurb;Duplex;2;69; floor 2;220000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;100; floor 2;375000;Yes;exterior
Sant Martí;el Poblenou;needs refurb;Flat;3;75; floor 2;279000;No;exterior
Sant Martí;la Vila Olímpica del Poblenou;needs refurb;Flat;4;134; floor 2;675000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;148; floor 1;718500;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;132;ground floor;330000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;2;141; floor 5;597500;Yes;exterior
Sant Martí;el Poblenou;needs refurb;Flat;3;69; floor 2;300000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;95;ground floor;395000;Yes;exterior
Ciutat Vella;el Raval;needs refurb;Penthouse;2;73; floor 5;199000;No;exterior
Horta-Guinardó;Sant Genís dels Agudells;needs refurb;Detached;10;297;Multiple;795000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Penthouse;4;185; floor 6;1390000;Yes;exterior
Horta-Guinardó;el Carmel;needs refurb;Detached;4;140;Multiple;520000;No;exterior
Gràcia;el Coll;needs refurb;Detached;4;294;Multiple;1800000;No;exterior
Horta-Guinardó;la Font d'en Fargues;needs refurb;Detached;6;224;Multiple;720000;No;exterior
Eixample;la Sagrada Família;needs refurb;Flat;3;83; floor 2;280000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;5;129; floor 4;475000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;174;mezzanine;900000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;120; floor 1;415000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;4;92; floor 2;395000;Yes;exterior
Sant Martí;la Verneda i la Pau;needs refurb;Flat;3;91; floor 5;189000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;needs refurb;Flat;1;43; floor 2;245000;Yes;exterior
Ciutat Vella;la Barceloneta;needs refurb;Flat;2;35; floor 5;160000;No;exterior
Eixample;el Fort Pienc;needs refurb;Flat;3;75;mezzanine;180000;Yes;exterior
Sant Andreu;Sant Andreu;needs refurb;Flat;3;66; floor 1;195000;Yes;exterior
Sants-Montjuïc;la Marina de Port;needs refurb;Flat;4;90; floor 5;225000;Yes;exterior
Ciutat Vella;el Raval;needs refurb;Flat;3;59; floor 5;140000;Yes;interior
Les Corts;les Corts;needs refurb;Penthouse;3;101; floor 7;450000;Yes;exterior
Gràcia;Vallcarca i els Penitents;needs refurb;Flat;1;62;ground floor;210000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;House;7;566;Multiple;2900000;No;exterior
Ciutat Vella;el Raval;needs refurb;Flat;1;51; floor 3;150000;No;exterior
Sant Martí;el Camp de l'Arpa del Clot;needs refurb;Flat;3;88; floor 7;320000;Yes;exterior
Sants-Montjuïc;la Bordeta;needs refurb;Flat;3;74; floor 1;225000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;4;125; floor 3;598000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;3;93; floor 4;540000;Yes;exterior
Les Corts;les Corts;needs refurb;Flat;2;80; floor 4;295000;Yes;exterior
Horta-Guinardó;el Carmel;needs refurb;Flat;3;60; floor 2;135000;No;exterior
Horta-Guinardó;el Baix Guinardó;needs refurb;Flat;5;124; floor 4;375000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;1;52; floor 1;295000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;2;158; floor 2;560000;No;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;needs refurb;Flat;4;79; floor 4;195000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Penthouse;4;329; floor 8;1350000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;3;122; floor 1;475000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;10;262; floor 4;978000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;81; floor 2;299000;Yes;exterior
Les Corts;les Corts;needs refurb;Flat;3;86; floor 2;310000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;3;130; floor 3;520000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;2;95; floor 4;370000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;3;121; floor 2;550000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;5;160; floor 3;650000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;5;158; floor 1;530000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;85; floor 2;320000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;85; floor 2;319000;Yes;exterior
Gràcia;Vallcarca i els Penitents;needs refurb;Flat;4;92;mezzanine;390000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;needs refurb;Flat;3;85; floor 2;319000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Penthouse;2;107; floor 9;650000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;3;56; floor 3;194000;Yes;exterior
Sants-Montjuïc;Sants;needs refurb;Flat;4;127; floor 7;540000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;needs refurb;Flat;5;285; floor 1;1260000;Yes;exterior
Horta-Guinardó;Sant Genís dels Agudells;needs refurb;Flat;2;42;ground floor;79000;No;exterior
Ciutat Vella;el Raval;needs refurb;Flat;3;77; floor 3;195000;No;exterior
Eixample;Sant Antoni;needs refurb;Flat;4;185; floor 2;365000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;needs refurb;Flat;4;78; floor 6;219000;Yes;interior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;125; floor 2;495000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;5;165; floor 3;655000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;3;108; floor 3;409000;Yes;exterior
Eixample;el Fort Pienc;needs refurb;Flat;5;157; floor 4;530000;Yes;exterior
Les Corts;les Corts;needs refurb;Flat;3;80; floor 3;395000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;3;180;mezzanine;1200000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;70; floor 3;360000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;3;70; floor 6;255000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;2;70; floor 1;239000;No;exterior
Eixample;Sant Antoni;needs refurb;Flat;2;56; floor 5;209000;Yes;interior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;5;155; floor 5;595000;Yes;exterior
Gràcia;la Salut;needs refurb;Flat;3;78;ground floor;255000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;needs refurb;Terraced;4;137;Multiple;265000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;2;58;mezzanine;205000;Yes;interior
Sant Martí;Provençals del Poblenou;needs refurb;Flat;3;74; floor 1;233000;Yes;exterior
Sant Andreu;Navas;needs refurb;Flat;3;79; floor 3;219000;Yes;interior
Sant Martí;el Clot;needs refurb;Flat;4;96; floor 2;325000;Yes;interior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;2;114; floor 8;500000;Yes;exterior
Ciutat Vella;el Raval;needs refurb;Flat;5;100; floor 4;358000;Yes;exterior
Les Corts;les Corts;needs refurb;Flat;6;289; floor 2;1200000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;88; floor 5;350000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;3;69; floor 2;340000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;needs refurb;Flat;3;93; floor 1;375000;No;exterior
Les Corts;Pedralbes;needs refurb;House;7;716;Multiple;3390000;No;exterior
Sants-Montjuïc;la Bordeta;needs refurb;Flat;4;97; floor 6;340000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;5;145; floor 1;1220000;Yes;exterior
Sants-Montjuïc;Sants - Badal;needs refurb;Flat;3;120; floor 6;463000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;5;227;ground floor;1095000;No;exterior
Horta-Guinardó;el Carmel;needs refurb;Flat;3;55;mezzanine;130000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;143; floor 1;900000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;needs refurb;Flat;7;319; floor 1;1350000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;4;196; floor 1;595000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;3;121; floor 1;562000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;5;106; floor 2;370000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;5;246; floor 1;990000;Yes;exterior
Sant Andreu;Sant Andreu;needs refurb;Flat;3;70; floor 3;199000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;2;39; floor 4;130000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;2;93; floor 7;450000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;3;120; floor 7;445000;Yes;exterior
Sant Andreu;la Sagrera;needs refurb;Flat;4;102; floor 7;255000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Penthouse;2;87; floor 7;299000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;2;47; floor 4;210000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;2;47; floor 3;210000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;110;ground floor;250000;No;interior
Sants-Montjuïc;Hostafrancs;needs refurb;Flat;2;83;mezzanine;255000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Flat;3;72; floor 3;260000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Penthouse;3;120; floor 6;495000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;4;88; floor 1;375000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Penthouse;3;76; floor 10;430000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;2;74; floor 2;325000;No;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;3;69; floor 2;240000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;5;258; floor 2;1050000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;2;81; floor 5;490000;No;interior
Gràcia;Vallcarca i els Penitents;needs refurb;Flat;3;72; floor 2;265000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Detached;10;690;Multiple;3950000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;2;55; floor 3;155000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;3;70; floor 8;365000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;4;90; floor 2;239000;No;exterior
Sants-Montjuïc;Hostafrancs;needs refurb;Flat;3;64; floor 2;220000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;3;58; floor 3;140000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;3;129; floor 2;599000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;120; floor 3;595000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;4;114; floor 3;335000;No;exterior
Les Corts;la Maternitat i Sant Ramon;needs refurb;Flat;4;95; floor 3;430000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;4;117; floor 1;410000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;4;134; floor 2;395000;No;exterior
Nou Barris;la Trinitat Nova;needs refurb;Penthouse;2;76; floor 4;125000;No;exterior
Les Corts;les Corts;needs refurb;Flat;4;125; floor 6;550000;Yes;interior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;7;228; floor 2;2200000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;6;200; floor 3;710000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;150; floor 1;550000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;5;150; floor 1;410000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Flat;3;64; floor 2;190000;Yes;exterior
Eixample;la Sagrada Família;needs refurb;Flat;4;140; floor 2;550000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;needs refurb;Flat;3;145;ground floor;259000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;3;90; floor 4;410000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;needs refurb;Penthouse;3;84; floor 3;330000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;7;391; floor 4;1690000;Yes;exterior
Eixample;Sant Antoni;needs refurb;Flat;3;129; floor 3;550000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;2;80; floor 3;320000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;5;320; floor 3;1750000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;6;158; floor 1;680000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;6;153; floor 3;650000;Yes;exterior
Sant Andreu;el Congrés i els Indians;needs refurb;Penthouse;3;64; floor 4;179900;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;7;184; floor 4;780000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;4;176; floor 2;750000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;8;261; floor 4;978000;Yes;exterior
Gràcia;Vallcarca i els Penitents;needs refurb;Flat;5;317;mezzanine;699000;No;exterior
Sant Martí;el Poblenou;needs refurb;Flat;5;192; floor 1;549000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;5;141; floor 4;622000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;needs refurb;Penthouse;3;47; floor 4;199900;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;3;90; floor 4;400000;Yes;exterior
Gràcia;la Vila de Gràcia;needs refurb;Flat;4;118; floor 3;550000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;3;132; floor 4;498000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;3;85; floor 1;239000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;82; floor 1;350000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;3;87; floor 1;570000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;4;212; floor 2;850000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;3;130; floor 2;520000;Yes;exterior
Ciutat Vella;el Raval;needs refurb;Flat;6;175; floor 5;635000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;58; floor 5;450000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;4;136; floor 3;890000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;4;121; floor 4;465000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;needs refurb;Flat;3;70; floor 3;155000;Yes;interior
Gràcia;el Camp d'en Grassot i Gràcia Nova;needs refurb;Flat;4;136; floor 2;475000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;5;145; floor 3;790000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;4;188; floor 2;599000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;87; floor 2;330000;Yes;exterior
Sant Andreu;Sant Andreu;needs refurb;Flat;3;65; floor 2;185000;Yes;exterior
Horta-Guinardó;Horta;needs refurb;Detached;10;297;Multiple;795000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Penthouse;4;123; floor 4;690000;Yes;exterior
Horta-Guinardó;el Carmel;needs refurb;Detached;5;142;Multiple;450000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;5;139; floor 5;657000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Penthouse;5;335; floor 6;2850000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;needs refurb;Flat;4;137; floor 2;550000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;65; floor 6;385000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Detached;7;650;Multiple;2300000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;3;235; floor 1;712500;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;6;274; floor 5;1670000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;needs refurb;Flat;3;65; floor 1;210000;No;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Flat;6;196; floor 4;900000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;needs refurb;Flat;2;50; floor 1;175000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;2;143;mezzanine;900000;Yes;exterior
Gràcia;Vallcarca i els Penitents;needs refurb;Flat;3;80; floor 4;310000;Yes;exterior
Eixample;el Fort Pienc;needs refurb;Flat;4;90; floor 1;325000;Yes;interior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;2;55; floor 2;175000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;4;97; floor 2;367000;Yes;exterior
Eixample;la Dreta de l'Eixample;needs refurb;Penthouse;2;86; floor 5;302000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;129; floor 1;718500;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;3;73; floor 1;290000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;104; floor 3;345000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;3;80; floor 2;210000;No;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;4;204; floor 2;780000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;needs refurb;Flat;5;217;mezzanine;990000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;4;157; floor 1;545000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;4;114; floor 1;340000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Penthouse;1;85; floor 1;460000;Yes;exterior
Nou Barris;la Trinitat Nova;needs refurb;Flat;2;76; floor 4;125000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;needs refurb;Flat;3;80; floor 3;295000;Yes;exterior
Eixample;Sant Antoni;needs refurb;Flat;3;116; floor 2;550000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;73; floor 10;435000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;needs refurb;Flat;2;150; floor 1;830000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;3;114; floor 2;350000;No;exterior
Les Corts;Pedralbes;needs refurb;Flat;3;73; floor 9;460000;Yes;exterior
Sants-Montjuïc;Sants;needs refurb;Flat;4;85;mezzanine;310000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;needs refurb;Flat;6;257; floor 4;800000;Yes;exterior
Ciutat Vella;el Barri Gòtic;needs refurb;Flat;6;549; floor 1;1950000;Yes;exterior
Sant Martí;el Poblenou;needs refurb;Flat;4;99; floor 2;378000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;3;100; floor 1;550000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;4;120; floor 5;650000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Penthouse;3;74; floor 8;430000;Yes;exterior
Les Corts;Pedralbes;needs refurb;Penthouse;2;73; floor 8;460000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;needs refurb;Flat;2;81; floor 4;480000;No;interior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;needs refurb;Flat;5;123; floor 4;740000;Yes;exterior
