district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;10;690;0;3950000;0;5724
Gràcia;la Salut;1;61;1;350000;0;5737
Sarrià-Sant Gervasi;les Tres Torres;5;305;1;1750000;0;5737
Sant Martí;el Camp de l'Arpa del Clot;1;46;1;264000;0;5739
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;115;1;660000;0;5739
Eixample;la Nova Esquerra de l'Eixample;5;155;1;890000;0;5741
Sant Martí;la Vila Olímpica del Poblenou;2;73;1;420000;0;5753
Sarrià-Sant Gervasi;el Putxet i el Farró;1;33;0;190000;0;5757
Ciutat Vella;el Raval;1;66;1;380000;0;5757
Eixample;la Sagrada Família;3;138;1;795000;0;5760
Les Corts;Pedralbes;5;269;1;1550000;0;5762
Sant Martí;la Vila Olímpica del Poblenou;2;110;1;634000;0;5763
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;72;1;415000;0;5763
Sant Martí;el Clot;2;72;1;415000;0;5763
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;170;1;980000;0;5764
Sant Martí;el Poblenou;3;118;1;680434;0;5766
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;137;1;790000;0;5766
Eixample;la Sagrada Família;3;189;1;1090000;0;5767
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;300000;0;5769
Les Corts;les Corts;4;91;1;525000;0;5769
Sant Martí;el Parc i la Llacuna del Poblenou;1;51;1;295000;0;5784
Les Corts;les Corts;2;95;1;550000;0;5789
Eixample;la Dreta de l'Eixample;2;120;1;695000;0;5791
Eixample;la Dreta de l'Eixample;1;63;1;365000;0;5793
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;50;1;290000;0;5800
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;2;50;1;290000;0;5800
Eixample;la Dreta de l'Eixample;2;75;1;435000;0;5800
Eixample;la Dreta de l'Eixample;4;137;1;795000;0;5802
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;325;1;1886000;0;5803
Eixample;la Sagrada Família;3;93;1;540000;0;5806
Les Corts;Pedralbes;3;74;1;430000;0;5810
Gràcia;el Camp d'en Grassot i Gràcia Nova;3;134;0;780000;0;5820
Sant Martí;el Camp de l'Arpa del Clot;2;56;1;326000;0;5821
Les Corts;Pedralbes;3;73;1;425000;0;5821
Eixample;l'Antiga Esquerra de l'Eixample;2;79;1;460000;0;5822
Les Corts;Pedralbes;10;790;0;4600000;0;5822
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;290;1;1690000;0;5827
Gràcia;la Salut;1;53;1;309000;0;5830
Sarrià-Sant Gervasi;Sarrià;2;60;1;350000;0;5833
Sant Martí;el Poblenou;3;96;1;560000;0;5833
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;102;1;595000;0;5833
Sant Martí;el Camp de l'Arpa del Clot;3;102;1;595000;0;5833
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;126;1;735000;0;5833
Les Corts;Pedralbes;6;159;1;928800;0;5841
Eixample;l'Antiga Esquerra de l'Eixample;2;77;1;450000;0;5844
Ciutat Vella;el Barri Gòtic;2;219;1;1280000;0;5844
Ciutat Vella;el Raval;1;58;1;339000;0;5844
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;65;1;380000;0;5846
Sarrià-Sant Gervasi;el Putxet i el Farró;4;183;1;1070000;0;5846
Eixample;l'Antiga Esquerra de l'Eixample;3;141;1;825000;0;5851
Sarrià-Sant Gervasi;el Putxet i el Farró;4;323;0;1890000;0;5851
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;128;1;749000;0;5851
Sant Martí;la Vila Olímpica del Poblenou;2;110;1;644000;0;5854
Sant Martí;la Vila Olímpica del Poblenou;2;110;1;644000;0;5854
Sant Andreu;el Congrés i els Indians;1;63;1;369000;0;5857
Horta-Guinardó;la Font d'en Fargues;2;64;1;375000;0;5859
Sarrià-Sant Gervasi;Sarrià;4;116;1;680000;0;5862
